               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.050426,            0.020255,            0.036168,             0.54102,             0.60573,             0.62893,             0.29392,            0.046998,           0.0076638,            0.029452,            0.070057,            0.003327,            0.003327
                   1,            0.036854,            0.012734,            0.014015,              0.8927,             0.78398,             0.91686,              0.6098,            0.039299,            0.006294,            0.022375,            0.039991,           0.0065944,           0.0065944
                   2,            0.033854,            0.012036,            0.011283,             0.66215,             0.68459,              0.6768,             0.43556,            0.036379,           0.0085419,            0.037416,           0.0098589,           0.0097958,           0.0097958
                   3,            0.032108,            0.012058,            0.011436,             0.87693,             0.74939,             0.86392,             0.56271,            0.037348,           0.0072979,            0.026002,            0.009703,            0.009703,            0.009703
                   4,             0.02863,            0.011505,            0.010023,             0.87988,             0.80946,             0.91345,             0.60927,            0.032701,           0.0060391,            0.020473,            0.009703,            0.009703,            0.009703
                   5,            0.026433,            0.011034,           0.0086265,             0.88891,             0.78791,             0.91854,             0.62437,            0.031258,           0.0058867,            0.031467,            0.009604,            0.009604,            0.009604
                   6,            0.024513,            0.010729,           0.0082197,             0.88915,             0.80166,             0.92423,             0.60973,            0.033676,           0.0053379,            0.027616,            0.009505,            0.009505,            0.009505
                   7,             0.02399,            0.010537,           0.0073932,             0.82008,             0.83428,             0.90622,              0.6059,            0.034951,           0.0053533,            0.019746,            0.009406,            0.009406,            0.009406
                   8,            0.022887,             0.01033,           0.0068615,             0.88042,             0.83684,             0.91981,             0.57791,             0.03135,           0.0054996,            0.020206,            0.009307,            0.009307,            0.009307
                   9,            0.021666,            0.010204,           0.0060921,             0.83001,             0.83089,             0.90304,             0.59123,            0.033178,           0.0053845,            0.026328,            0.009208,            0.009208,            0.009208
                  10,            0.021209,           0.0099294,           0.0051291,              0.8735,             0.85748,             0.93093,              0.6213,            0.030588,           0.0056419,             0.01672,            0.009109,            0.009109,            0.009109
                  11,            0.020795,           0.0099693,           0.0064682,             0.85234,             0.84031,             0.89407,             0.58067,            0.032328,            0.005494,            0.023062,             0.00901,             0.00901,             0.00901
                  12,             0.02078,           0.0098206,           0.0057567,             0.92593,             0.84428,             0.95328,             0.66481,            0.028964,           0.0051799,            0.020751,            0.008911,            0.008911,            0.008911
                  13,            0.020381,             0.00973,           0.0060106,             0.84651,             0.84147,             0.91435,             0.61277,            0.031797,           0.0051447,            0.023055,            0.008812,            0.008812,            0.008812
                  14,            0.020791,           0.0095568,           0.0059505,             0.86203,             0.85579,             0.93454,             0.63367,            0.029104,           0.0050231,            0.025102,            0.008713,            0.008713,            0.008713
                  15,            0.019616,           0.0092796,           0.0050751,             0.82162,              0.8426,              0.9159,             0.62963,            0.026195,           0.0052809,             0.03249,            0.008614,            0.008614,            0.008614
                  16,            0.018742,           0.0094135,           0.0042857,             0.89409,             0.82723,             0.94271,             0.63139,            0.031875,           0.0050422,            0.029041,            0.008515,            0.008515,            0.008515
                  17,            0.019483,           0.0092848,           0.0049261,             0.88404,             0.80594,             0.91541,             0.61662,            0.029864,           0.0051869,             0.03136,            0.008416,            0.008416,            0.008416
                  18,             0.01878,           0.0093134,           0.0041508,             0.85594,             0.82549,             0.91179,             0.63806,            0.027798,           0.0048922,            0.042763,            0.008317,            0.008317,            0.008317
                  19,            0.018515,            0.009022,            0.004123,             0.89743,             0.79792,             0.91707,             0.62159,            0.030014,            0.004888,            0.027932,            0.008218,            0.008218,            0.008218
                  20,            0.018551,           0.0090922,           0.0047162,             0.87823,             0.85852,             0.93678,              0.6463,            0.029013,           0.0050096,            0.019645,            0.008119,            0.008119,            0.008119
                  21,            0.018702,           0.0091982,           0.0052507,             0.89144,             0.86411,             0.93143,             0.60966,            0.031555,           0.0050843,            0.028003,             0.00802,             0.00802,             0.00802
                  22,            0.018276,           0.0090868,           0.0040198,             0.88556,             0.85161,              0.9616,             0.66481,             0.02878,           0.0050919,             0.02411,            0.007921,            0.007921,            0.007921
                  23,            0.018604,           0.0091189,           0.0045229,              0.8378,             0.85265,             0.92549,             0.63851,             0.02766,           0.0048053,            0.030329,            0.007822,            0.007822,            0.007822
                  24,            0.017784,           0.0088168,           0.0034532,              0.8681,             0.82968,             0.94734,              0.6465,            0.029621,           0.0050911,            0.026963,            0.007723,            0.007723,            0.007723
                  25,            0.017509,           0.0088214,           0.0035624,             0.89487,              0.8368,             0.96014,              0.6443,            0.031946,           0.0048937,            0.028742,            0.007624,            0.007624,            0.007624
                  26,            0.018041,             0.00895,           0.0034262,             0.87643,             0.83282,             0.92294,             0.61978,            0.029821,           0.0047315,            0.031601,            0.007525,            0.007525,            0.007525
                  27,            0.017149,           0.0088949,           0.0033741,             0.86613,             0.82447,             0.93229,             0.64617,            0.028771,           0.0047164,            0.032005,            0.007426,            0.007426,            0.007426
                  28,            0.018047,           0.0088051,           0.0041555,             0.89502,             0.82804,             0.93681,             0.62734,            0.031433,           0.0048204,            0.031114,            0.007327,            0.007327,            0.007327
