               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.017747,           0.0088125,           0.0033971,             0.87957,             0.83797,             0.91782,             0.63396,            0.031889,           0.0046663,            0.026417,            0.008845,            0.008845,            0.008845
                  37,            0.017692,           0.0087081,           0.0037202,             0.83469,             0.87236,             0.93187,             0.62634,            0.031015,           0.0048497,            0.021844,            0.008812,            0.008812,            0.008812
                  38,            0.017265,           0.0087855,           0.0033593,             0.86156,             0.82718,             0.93437,             0.63148,            0.031701,            0.004869,            0.025792,            0.008779,            0.008779,            0.008779
                  39,            0.017711,           0.0087192,           0.0039987,             0.84015,             0.86463,             0.93711,             0.65687,               0.029,           0.0046367,            0.023321,            0.008746,            0.008746,            0.008746
                  40,              0.0176,           0.0090471,            0.003703,             0.84414,             0.83502,             0.89862,              0.6151,            0.028296,           0.0046881,            0.028208,            0.008713,            0.008713,            0.008713
                  41,            0.017236,           0.0087866,           0.0033298,              0.8559,             0.76746,             0.90658,             0.60067,            0.031078,           0.0050141,            0.029361,             0.00868,             0.00868,             0.00868
                  42,            0.017166,            0.008893,           0.0032444,             0.85501,             0.80447,             0.89273,             0.61935,             0.02914,            0.004781,            0.030764,            0.008647,            0.008647,            0.008647
                  43,             0.01724,           0.0088276,           0.0035261,             0.83988,             0.83101,             0.89901,             0.60864,            0.030574,           0.0048469,            0.034901,            0.008614,            0.008614,            0.008614
                  44,            0.017052,           0.0087151,           0.0034912,             0.89824,             0.83414,              0.9173,             0.61646,            0.029871,           0.0048653,            0.029811,            0.008581,            0.008581,            0.008581
                  45,            0.017102,           0.0085619,           0.0033529,             0.78886,             0.84686,               0.921,             0.61893,            0.029984,           0.0046719,            0.032094,            0.008548,            0.008548,            0.008548
                  46,            0.016849,           0.0085801,           0.0026482,             0.85719,              0.8122,             0.93675,             0.63938,            0.029108,           0.0046143,            0.033722,            0.008515,            0.008515,            0.008515
                  47,             0.01694,           0.0085552,           0.0031171,             0.88259,             0.82604,             0.94413,             0.65304,             0.02793,           0.0045778,            0.032847,            0.008482,            0.008482,            0.008482
                  48,            0.017019,           0.0086037,           0.0035597,             0.90306,              0.8183,             0.93961,             0.64056,            0.029338,           0.0046929,            0.029816,            0.008449,            0.008449,            0.008449
                  49,            0.016457,           0.0085612,           0.0033356,             0.82606,             0.81674,              0.8948,             0.61084,            0.028061,           0.0046862,            0.036284,            0.008416,            0.008416,            0.008416
                  50,            0.016884,           0.0085971,           0.0031462,             0.83337,             0.89071,             0.94116,              0.6454,            0.027876,           0.0047219,            0.023887,            0.008383,            0.008383,            0.008383
                  51,            0.017278,            0.008547,           0.0030401,             0.83519,             0.87503,             0.94958,                0.65,            0.028134,           0.0047091,            0.025515,             0.00835,             0.00835,             0.00835
                  52,            0.017379,            0.008612,           0.0029924,             0.84751,              0.8486,             0.94258,             0.65326,             0.02844,           0.0046652,            0.033385,            0.008317,            0.008317,            0.008317
                  53,            0.016972,           0.0083593,           0.0022111,             0.80672,             0.84941,             0.91677,             0.64108,            0.027656,           0.0045364,            0.033238,            0.008284,            0.008284,            0.008284
                  54,            0.016026,           0.0084693,           0.0025456,             0.82209,             0.85824,             0.92123,             0.64412,            0.028514,           0.0046183,            0.029592,            0.008251,            0.008251,            0.008251
                  55,            0.016377,           0.0084015,           0.0026514,             0.86844,             0.88887,             0.94383,             0.64698,            0.029076,           0.0046238,            0.021721,            0.008218,            0.008218,            0.008218
                  56,            0.016793,           0.0084801,           0.0026834,             0.86171,             0.89274,             0.93936,             0.64149,            0.029664,            0.004697,            0.021528,            0.008185,            0.008185,            0.008185
